"","id","neighbourhood","price","latitude","longitude","currency"
"149",6682328,"Barcelona",38,41.38676,2.15258,"$"
"150",6685814,"Barcelona",35,41.41797,2.20906,"$"
"151",6742029,"Barcelona",44,41.38042,2.16997,"$"
"152",6811251,"Barcelona",43,41.43491,2.15933,"$"
"153",6833872,"Barcelona",30,41.3819,2.17782,"$"
"154",6874802,"Barcelona",40,41.4009,2.15133,"$"
"155",6970950,"Barcelona",24,41.37094,2.13631,"$"
"156",6987669,"Barcelona",25,41.37107,2.13632,"$"
"157",7049201,"Barcelona",36,41.4224,2.18185,"$"
"158",7052111,"Barcelona",26,41.38214,2.13586,"$"
"159",7098347,"Barcelona",41,41.37984,2.17141,"$"
"160",7108900,"Barcelona",40,41.38891,2.18407,"$"
"161",7146392,"Barcelona",28,41.37244,2.15445,"$"
"162",7217897,"Barcelona",39,41.39947,2.18903,"$"
"163",7220512,"Barcelona",30,41.39938,2.18923,"$"
"164",7221187,"Barcelona",30,41.39948,2.19029,"$"
"165",7241906,"Barcelona",40,41.38589,2.17613,"$"
"166",7271564,"Barcelona",49,41.41121,2.14716,"$"
"167",7357825,"Barcelona",20,41.37912,2.1807,"$"
"168",7493925,"Barcelona",39,41.44368,2.17597,"$"
"169",7528507,"Barcelona",32,41.37055,2.13965,"$"
"170",7534974,"Barcelona",40,41.3798,2.15197,"$"
"171",7574022,"Barcelona",20,41.40725,2.17251,"$"
"172",7674436,"Barcelona",48,41.38916,2.15804,"$"
"173",7766400,"Barcelona",22,41.39137,2.1885,"$"
"174",7780048,"Barcelona",28,41.38901,2.15592,"$"
"175",7825059,"Barcelona",27,41.44384,2.17618,"$"
"176",7832245,"Barcelona",23,41.37269,2.14574,"$"
"177",7881041,"Barcelona",34,41.38372,2.17673,"$"
"178",7954069,"Barcelona",41,41.37367,2.1665,"$"
"179",7968938,"Barcelona",35,41.38323,2.16173,"$"
"180",7999354,"Barcelona",39,41.4038,2.14768,"$"
"181",8089378,"Barcelona",42,41.37488,2.17565,"$"
"182",8216403,"Barcelona",45,41.40633,2.14707,"$"
"183",8249976,"Barcelona",26,41.3785,2.17251,"$"
"184",8420515,"Barcelona",50,41.37331,2.12687,"$"
"185",8530986,"Barcelona",33,41.42149,2.1534,"$"
"186",8535939,"Barcelona",18,41.39886,2.15655,"$"
"187",8537109,"Barcelona",19,41.39786,2.15647,"$"
"188",8586919,"Barcelona",16,41.44984,2.17738,"$"
"189",8626546,"Barcelona",19,41.39831,2.15746,"$"
"190",8666411,"Barcelona",19,41.39944,2.15637,"$"
"191",8666693,"Barcelona",19,41.39831,2.1575,"$"
"192",8745852,"Barcelona",18,41.39938,2.15811,"$"
"193",8746607,"Barcelona",18,41.39737,2.15653,"$"
"194",8751708,"Barcelona",29,41.38807,2.15668,"$"
"195",8778827,"Barcelona",46,41.41485,2.17901,"$"
"196",8953520,"Barcelona",25,41.42297,2.15211,"$"
"197",8978429,"Barcelona",24,41.37364,2.16463,"$"
"198",9085019,"Barcelona",40,41.40429,2.14333,"$"
"199",9231823,"Barcelona",24,41.4205,2.17577,"$"
"200",9354588,"Barcelona",35,41.38263,2.17894,"$"
"201",9447591,"Barcelona",38,41.38408,2.18334,"$"
"202",9501577,"Barcelona",29,41.38902,2.1562,"$"
"203",9839640,"Barcelona",42,41.41786,2.17792,"$"
"204",9905008,"Barcelona",40,41.37135,2.13463,"$"
"205",10027256,"Barcelona",21,41.43951,2.17662,"$"
"206",10208538,"Barcelona",35,41.39926,2.20067,"$"
"207",10226586,"Barcelona",26,41.3793,2.16693,"$"
"208",10504839,"Barcelona",40,41.37407,2.15426,"$"
"209",10525605,"Barcelona",38,41.38039,2.18096,"$"
"210",10593922,"Barcelona",20,41.38183,2.15138,"$"
"211",10697821,"Barcelona",34,41.39854,2.17981,"$"
"212",10713417,"Barcelona",30,41.38812,2.17613,"$"
"213",10822633,"Barcelona",26,41.40024,2.15523,"$"
"214",10898550,"Barcelona",29,41.37626,2.16933,"$"
"215",11029651,"Barcelona",25,41.36068,2.13893,"$"
"216",11032300,"Barcelona",34,41.40612,2.1716,"$"
"217",11084174,"Barcelona",28,41.35919,2.14077,"$"
"218",11147546,"Barcelona",46,41.41417,2.16444,"$"
"219",11194559,"Barcelona",50,41.37236,2.15469,"$"
"220",11201817,"Barcelona",35,41.38967,2.17921,"$"
"221",11318895,"Barcelona",40,41.39832,2.18202,"$"
"222",11348667,"Barcelona",44,41.37038,2.14448,"$"
"223",11390457,"Barcelona",35,41.43108,2.16924,"$"
"224",11412567,"Barcelona",29,41.38032,2.12499,"$"
"225",11416382,"Barcelona",35,41.38151,2.16227,"$"
"226",11512822,"Barcelona",29,41.4062,2.20182,"$"
"227",11600765,"Barcelona",35,41.41629,2.1712,"$"
"228",11675830,"Barcelona",25,41.41766,2.18989,"$"
"229",11830886,"Barcelona",50,41.39253,2.15374,"$"
"230",12077799,"Barcelona",40,41.37958,2.13697,"$"
"231",12088397,"Barcelona",50,41.38548,2.13486,"$"
"232",12108860,"Barcelona",40,41.40573,2.17475,"$"
"233",12199121,"Barcelona",30,41.35782,2.137,"$"
"234",12200436,"Barcelona",21,41.36002,2.13846,"$"
"235",12202181,"Barcelona",24,41.35862,2.13642,"$"
"236",12204724,"Barcelona",44,41.3894,2.15393,"$"
"237",12271535,"Barcelona",26,41.37932,2.18798,"$"
"238",12284640,"Barcelona",40,41.37899,2.1509,"$"
"239",12338933,"Barcelona",43,41.37391,2.125,"$"
"240",12372877,"Barcelona",10,41.37865,2.18709,"$"
"241",12375972,"Barcelona",39,41.42135,2.15738,"$"
"242",12481529,"Barcelona",35,41.38005,2.1763,"$"
"243",12509021,"Barcelona",15,41.3823,2.17299,"$"
"244",12540565,"Barcelona",35,41.40835,2.1688,"$"
"245",12556845,"Barcelona",27,41.37727,2.17153,"$"
"246",12581510,"Barcelona",47,41.39367,2.13159,"$"
"247",12621788,"Barcelona",43,41.41844,2.17062,"$"
"248",12758910,"Barcelona",33,41.38396,2.1749,"$"
"249",12790610,"Barcelona",40,41.38066,2.13916,"$"
"250",12804942,"Barcelona",40,41.37732,2.16565,"$"
"251",12852275,"Barcelona",30,41.38126,2.16466,"$"
"252",13044882,"Barcelona",34,41.39963,2.18051,"$"
"253",13063233,"Barcelona",32,41.40248,2.18158,"$"
"254",13108288,"Barcelona",26,41.39207,2.17778,"$"
"255",13114888,"Barcelona",30,41.4018,2.17879,"$"
"256",13187166,"Barcelona",45,41.37777,2.1521,"$"
"257",13187408,"Barcelona",45,41.3736,2.16302,"$"
"258",13217644,"Barcelona",43,41.38638,2.1778,"$"
"259",13280760,"Barcelona",20,41.40099,2.20497,"$"
"260",13288653,"Barcelona",33,41.42427,2.15792,"$"
"261",13312200,"Barcelona",49,41.38117,2.17596,"$"
"262",13324970,"Barcelona",29,41.38245,2.13607,"$"
"263",13355014,"Barcelona",43,41.37595,2.16232,"$"
"264",13370186,"Barcelona",20,41.40382,2.15311,"$"
"265",13384235,"Barcelona",20,41.38289,2.15324,"$"
"266",13448212,"Barcelona",36,41.41289,2.17377,"$"
"267",13562606,"Barcelona",35,41.40999,2.16928,"$"
"268",13590196,"Barcelona",25,41.39178,2.17118,"$"
"269",13616938,"Barcelona",40,41.3802,2.15432,"$"
"270",13619890,"Barcelona",20,41.39162,2.19026,"$"
"271",13685401,"Barcelona",38,41.37347,2.16233,"$"
"272",13766096,"Barcelona",41,41.37317,2.15709,"$"
"273",13806026,"Barcelona",45,41.37387,2.15606,"$"
"274",13876396,"Barcelona",29,41.38352,2.17946,"$"
"275",13876657,"Barcelona",26,41.40969,2.18779,"$"
"276",13934711,"Barcelona",36,41.42582,2.19083,"$"
"277",13973003,"Barcelona",37,41.40047,2.17542,"$"
"278",13986581,"Barcelona",17,41.37427,2.15902,"$"
"279",13995903,"Barcelona",39,41.40836,2.18112,"$"
"280",14006318,"Barcelona",27,41.3971,2.18031,"$"
"281",14061998,"Barcelona",39,41.37393,2.1628,"$"
"282",14078469,"Barcelona",47,41.39395,2.1581,"$"
"283",14286647,"Barcelona",21,41.40811,2.1763,"$"
"284",14326895,"Barcelona",35,41.4029,2.19284,"$"
"285",14339528,"Barcelona",27,41.40492,2.20256,"$"
"286",14366973,"Barcelona",47,41.39827,2.20213,"$"
"287",14378795,"Barcelona",45,41.38127,2.17378,"$"
"288",14396540,"Barcelona",29,41.4041,2.17418,"$"
"289",14397132,"Barcelona",45,41.38154,2.17436,"$"
"290",14408791,"Barcelona",30,41.41049,2.18316,"$"
"291",14435096,"Barcelona",38,41.39101,2.17841,"$"
"292",14436579,"Barcelona",33,41.3913,2.17829,"$"
"293",14439632,"Barcelona",41,41.39254,2.17948,"$"
"294",14497988,"Barcelona",25,41.4292,2.1774,"$"
"295",14522249,"Barcelona",25,41.43016,2.17681,"$"
"296",14560963,"Barcelona",43,41.37343,2.17142,"$"
"297",14669385,"Barcelona",24,41.41326,2.18362,"$"
"298",14784094,"Barcelona",40,41.38403,2.13877,"$"
"299",14834228,"Barcelona",23,41.38786,2.17907,"$"
"300",14836082,"Barcelona",45,41.38683,2.18345,"$"
"301",14845453,"Barcelona",39,41.38217,2.16523,"$"
"302",14848480,"Barcelona",40,41.41022,2.17402,"$"
"303",14909696,"Barcelona",34,41.38319,2.15767,"$"
"304",14918173,"Barcelona",16,41.42452,2.17897,"$"
"305",14921978,"Barcelona",35,41.37196,2.16232,"$"
"306",14922292,"Barcelona",39,41.37321,2.16089,"$"
"307",14931743,"Barcelona",23,41.40514,2.20257,"$"
"308",14948804,"Barcelona",22,41.40698,2.18241,"$"
"309",14964762,"Barcelona",40,41.41069,2.18702,"$"
"310",14974687,"Barcelona",40,41.37094,2.16137,"$"
"311",15033558,"Barcelona",37,41.40327,2.17409,"$"
"312",15052687,"Barcelona",25,41.41468,2.19098,"$"
"313",15062959,"Barcelona",40,41.41245,2.18579,"$"
